Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
Man,Not of Hispanic/Latinx/Spanish origin,Vietnamese,2nd,No,Student,Yes,,No,b,b,f,f,b,c,f,g,d,b,g,d,a,c,e,a,g,d,c,f,h,b,g,d,e,f,g,d,a,e,b,a,e,b,a,a,d,b,b,d,h,c,d,c,a,c,a,d,d,c,c,c,c,c,e,e,f,g,g,f,c,b,a,a,c,b,a,a,h,d,f,f,g,g,f,c,e,c,e,e,d,c,d,e,c,d,d,c,e,d,b,a,b,a
Woman,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,No,,Yes,a,b,c,g,b,c,e,f,d,b,f,d,b,b,e,c,b,h,d,f,a,e,d,c,g,c,f,d,c,g,a,d,a,b,b,a,c,f,a,a,h,b,d,c,a,a,c,a,a,a,a,a,a,a,d,d,d,f,f,e,b,a,a,a,a,a,a,a,d,d,d,d,d,h,h,h,g,g,g,g,g,f,f,f,f,f,d,d,d,d,b,b,b,b
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,Yes,a,b,e,f,f,a,e,d,e,a,g,a,f,d,e,b,g,a,b,g,b,i,d,g,d,h,g,h,g,e,c,a,d,b,c,c,e,f,c,f,d,a,b,e,b,a,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,1st,No,Student,Yes,,Yes,a,b,c,g,b,c,e,f,d,b,g,d,b,a,e,c,b,h,d,f,i,e,g,b,f,a,g,d,b,a,a,f,e,b,b,a,a,b,d,a,b,b,d,a,a,a,b,a,b,c,g,b,c,e,g,d,b,g,d,c,a,e,c,b,h,d,f,f,e,g,b,f,a,g,d,b,a,a,a,e,b,b,c,a,c,d,d,f,b,d,a,a,b,b
Man,Mexican/Mexican American/Chicano/Chicana,White,3rd,No,Student,No,,Yes,a,b,e,g,b,e,f,f,e,b,g,e,b,a,e,a,b,h,c,f,g,e,g,a,e,a,f,e,c,e,b,c,e,c,d,b,d,c,c,a,d,b,c,b,e,c,b,c,b,c,d,b,a,c,b,b,a,b,a,c,f,f,e,d,f,e,a,d,g,d,c,d,g,b,d,a,c,e,g,f,f,f,e,f,e,d,a,a,b,d,b,d,e,b
Woman,Not of Hispanic/Latinx/Spanish origin,Filipino,3rd,No,Student,Yes,,Yes,b,f,g,g,a,c,a,f,e,b,c,e,b,c,e,g,h,d,g,f,d,e,f,g,i,a,a,d,g,e,b,b,e,e,c,c,f,b,b,a,f,b,d,a,a,d,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,"White,American Indian or Alaskan Native",2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,g,g,d,b,g,d,b,a,e,c,b,h,d,f,f,e,g,b,f,a,g,d,b,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Vietnamese,2nd,No,Student,Yes,,Yes,a,b,c,g,b,e,e,g,d,b,g,d,a,a,e,c,b,h,d,f,i,a,g,i,e,i,b,d,e,e,e,b,g,e,c,b,a,b,e,a,f,b,d,b,a,b,b,a,b,c,g,b,e,e,f,b,b,a,a,a,c,e,i,d,f,i,h,h,e,d,g,f,a,b,b,c,e,e,e,e,e,a,a,a,a,e,d,f,h,d,a,a,c,c
Man,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,Yes,,Yes,b,c,c,e,d,c,b,g,d,b,g,d,b,h,e,a,i,b,b,g,f,a,b,c,b,c,g,d,b,e,e,e,e,e,a,c,a,b,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,"White,Vietnamese",2nd,No,Student,Yes,,Yes,a,b,g,g,b,c,e,g,d,b,g,d,b,a,e,c,h,g,h,f,i,a,b,i,c,c,g,d,b,a,e,b,e,b,b,c,c,b,d,c,g,i,a,b,d,a,e,a,b,c,g,b,d,e,e,d,b,e,d,b,a,e,c,b,h,d,f,i,a,f,c,f,c,f,d,b,a,e,b,e,b,b,c,d,b,d,a,f,c,d,a,a,c,b
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,f,e,b,g,d,b,g,d,b,a,e,c,b,d,d,g,f,a,b,c,b,c,a,a,a,e,f,f,e,e,b,c,a,b,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,,2nd,No,Student,Yes,,No,g,f,e,b,b,e,c,e,f,b,e,g,a,b,h,c,h,i,a,i,e,c,h,h,f,b,a,h,d,d,c,c,d,d,e,a,b,f,e,c,f,d,a,b,d,a,a,b,b,b,b,b,c,a,e,f,e,f,a,a,c,a,a,b,g,c,b,e,e,a,e,h,f,c,f,d,a,e,c,b,f,c,a,e,d,d,d,c,a,d,a,a,b,a
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,a,g,d,a,a,d,a,c,e,a,d,h,g,f,b,e,d,d,f,a,a,d,e,e,b,e,e,e,a,c,a,b,e,d,g,c,d,b,a,a,a,a,b,g,g,b,c,b,f,d,b,a,d,c,b,f,d,c,f,f,d,a,d,f,d,h,i,d,d,b,c,e,f,c,g,a,b,e,d,e,e,g,d,f,e,a,d,b
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,3rd,No,Student,Yes,,Yes,a,b,c,g,d,e,e,f,d,b,f,d,b,d,e,c,i,g,h,f,a,e,d,i,g,f,f,d,b,a,e,b,e,b,a,c,f,b,b,i,g,h,b,a,a,b,a,a,b,c,g,d,e,d,f,d,b,g,d,b,c,e,a,h,g,b,f,h,a,d,f,b,e,g,d,b,a,b,e,e,b,b,c,a,b,e,d,g,c,a,a,a,a,a
Man,Not of Hispanic/Latinx/Spanish origin,"White,Filipino",2nd,No,Student,Yes,,Yes,b,c,d,g,c,e,d,g,d,b,f,d,b,d,e,c,d,h,d,f,f,e,f,i,g,e,g,d,b,a,f,d,f,c,f,d,f,c,b,b,h,b,d,d,b,e,c,b,d,d,e,f,a,f,e,f,d,g,d,b,h,e,g,d,h,d,f,f,e,g,b,f,a,g,d,b,g,b,b,f,c,a,c,f,b,a,a,b,h,d,c,a,c,e
Man,Not of Hispanic/Latinx/Spanish origin,"White,Black or African American",3rd,No,Student,Yes,,Yes,a,b,c,g,b,h,e,f,d,b,f,d,a,a,e,c,i,h,d,f,h,e,g,i,f,a,g,d,b,f,a,b,e,b,c,b,f,b,d,a,f,i,d,a,a,c,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,Yes,,Yes,b,b,a,g,b,c,e,f,f,c,c,e,b,b,e,c,g,h,g,f,f,e,f,b,e,a,g,d,b,a,b,b,e,b,b,c,a,d,b,a,f,a,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,Black or African American,2nd,No,Student,Yes,,Yes,d,f,b,a,e,d,c,e,c,b,a,e,b,b,b,e,c,f,g,d,g,d,b,d,e,a,e,b,f,c,b,d,b,e,d,a,d,c,b,d,f,c,g,a,c,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transgender,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,c,g,d,c,g,f,d,b,g,d,b,b,e,c,i,h,d,f,a,e,g,i,f,b,g,d,b,a,e,e,e,c,b,d,a,b,d,b,f,i,d,a,a,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,No Answer,White,2nd,No,Student,Yes,,Yes,b,d,f,f,d,b,b,f,d,b,f,d,b,c,e,f,g,i,f,g,h,e,g,c,i,c,e,d,b,e,e,e,e,e,a,a,a,a,e,d,f,h,d,b,b,b,a,d,b,f,g,d,f,b,f,d,b,f,d,b,a,b,c,h,d,f,i,h,a,c,f,i,b,f,d,b,e,e,e,e,e,a,a,c,b,a,d,c,h,g,a,b,d,b
Man,Not of Hispanic/Latinx/Spanish origin,Korean,2nd,No,Student,Yes,,Yes,c,d,b,b,e,e,f,g,c,e,d,c,f,a,b,a,f,a,f,e,d,e,g,h,e,g,b,c,e,b,d,e,b,d,d,a,d,e,b,d,b,h,a,c,a,c,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,a,b,c,g,b,c,e,e,d,g,c,e,c,h,a,b,d,g,d,f,g,e,f,g,e,a,e,d,g,b,e,a,d,e,b,b,d,b,c,c,d,f,d,c,b,e,c,b,d,f,f,d,b,b,a,d,a,a,a,a,a,b,d,d,b,b,f,i,b,b,c,a,c,g,d,b,e,e,e,e,e,e,e,e,e,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,Asian Indian,2nd,No,Student,Yes,,Yes,a,b,g,g,d,e,a,g,d,b,g,d,b,c,e,c,d,f,d,f,c,e,e,f,f,e,g,d,a,a,b,g,d,e,c,d,c,e,b,e,f,e,d,b,c,c,c,a,b,f,b,d,b,b,g,a,b,g,b,b,e,e,a,b,h,d,f,h,e,f,c,f,c,g,d,b,e,d,e,f,d,c,f,b,d,b,a,f,b,d,b,b,a,a
